DBSCAN_Cluster,Government Debt,Core PCE Price Index,Core Consumer Prices,Wages,Corruption Rank,Price to Rent Ratio,Money Supply M0,Military Expenditure,Interbank Rate,Government Bond 10Y,Consumer Price Index CPI,GDP from Public Administration,Foreign Exchange Reserves,Mining Production,PCE Price Index,Pending Home Sales,Crude Oil Production,Disposable Personal Income,Foreign Direct Investment,Mortgage Originations
-1,-0.5198887315254612,-0.4564083966452167,-0.44095305504974386,-0.3400044611489004,-0.07516194255831661,-0.07632165541178519,-0.6377428523338783,-0.18173430892584327,0.856888821230673,0.016706121040198734,-0.4327430989353065,-0.1632737271520281,0.12193474671681452,-0.689197671692212,-0.43207159266083595,-1.3130735072623956,-0.5063632989301808,-0.20495181628201772,-1.2134236678445223,-0.20725264808435578
0,-1.4359089139176455,-1.5640201476805455,-1.501366670263506,-1.5313385261363888,-1.10150160031755,0.7109556997081079,-1.4522820999290438,-1.7453472195024564,0.4458831773604377,1.2439187970987868,-1.6800133269965503,-1.0345025522044318,-0.42948340550276276,-0.3360761208865249,-1.6741240219625613,0.9137557252420988,-1.020848777115475,-1.4757318331964078,-1.2350222655490906,0.48496189991281513
1,-1.4241946956280325,-1.5503651947794401,-1.4876138824611087,-1.5227560165773022,-1.10150160031755,0.7109556997081079,-1.4536861170895812,-1.7453472195024564,0.5306289925447671,1.2060208389847702,-1.6413986154371556,-1.0345025522044318,-0.36286290047770753,-0.06014858351277861,-1.6514787718508501,0.8338592381712046,-1.0013145651725421,-1.4671082121891665,-1.2350222655490906,0.484961899912815
2,-1.415442674536685,-1.5300344871266847,-1.463546503806914,-1.5113126704985198,-1.10150160031755,0.7109556997081079,-1.4533198517433537,-1.7453472195024562,0.6434315792104472,1.5049574348394645,-1.5887421905834365,-1.0345025522044318,-0.566380418877419,-0.12913046785621518,-1.6270219017302034,0.3225217209174816,-0.9657978161853917,-1.4482018635759402,-1.2350222655490906,0.4849618999128151
3,-1.4171439420023189,-1.5205265939955441,-1.460108306856315,-1.4998693244197376,-1.10150160031755,0.8917040489989508,-1.4520989672559304,-1.7453472195024564,0.7100809746006395,1.3487995923327265,-1.5431066223768803,-1.0230819496288406,-0.4869639022164537,-0.06014858351277861,-1.6040747149503374,0.7619523998073999,-0.9792941808005089,-1.4309612655810173,-1.0368274410997986,0.36165009926052627
4,-1.4153135911077896,-1.5035337637186146,-1.4497937160045167,-1.4912868148606515,-1.10150160031755,0.891704048998951,-1.4515495692365896,-1.7453472195024562,0.7748095396642088,1.1786269685566249,-1.5501274790240425,-1.0230819496288406,-0.8001615203525365,-0.12913046785621518,-1.5994450193719425,0.3624699644529287,-0.9675736536347492,-1.416748442214238,-1.0368274410997986,0.36165009926052627
5,-1.407272832055574,-1.49776833916037,-1.4463555190539175,-1.47984346878187,-1.10150160031755,0.891704048998951,-1.4489246675886287,-1.7453472195024562,0.8568497184018785,1.0481350655743034,-1.5466170507004617,-1.0230819496288406,-0.9776807928888117,-0.11763348713230909,-1.5943120960132882,0.5462318847159854,-1.022269447074961,-1.4090154362099463,-1.0368274410997986,0.36165009926052627
6,-1.4002600764211506,-1.4856306032482764,-1.4360409282021194,-1.4598176131440013,-1.10150160031755,1.0813572436188197,-1.4475816946524627,-1.7453472195024564,0.9572757912082975,1.204062376960746,-1.5150231957882299,-0.9906233949403116,-0.9981950337654292,-0.3705670630582432,-1.5594887336192795,0.5222629385947172,-1.0893961026606753,-1.3934956392811129,-1.3201705834228694,0.9596684080856852
7,-1.3948669680183619,-1.4788537006973586,-1.4291645343009212,-1.4540959401046094,-1.10150160031755,1.0813572436188197,-1.447703783101205,-1.7453472195024562,1.0587044710695785,1.2842999386601222,-1.479918912552417,-0.9906233949403116,-0.8706411399979457,-0.3360761208865249,-1.5261750545660535,0.41040785669546515,-1.1089303146036082,-1.376820415712574,-1.3201705834228694,0.9596684080856853
8,-1.3940744972758232,-1.4604448012306834,-1.4222881403997218,-1.4483742670652184,-1.10150160031755,1.0813572436188197,-1.4445294834339033,-1.7453472195024562,1.1146400050832475,1.2254449871572566,-1.3956686327864662,-0.9906233949403116,-1.0373955138563917,-1.1293677908360455,-1.4461618375046765,0.21066663901822968,-1.4584151246371688,-1.3586768638212339,-1.3201705834228694,0.9596684080856853
