Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Spending,1950-03-31T00:00:00,642.039,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1950-06-30T00:00:00,653.806,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1950-09-30T00:00:00,643.275,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1950-12-31T00:00:00,688.73,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1951-03-31T00:00:00,762.013,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1951-06-30T00:00:00,863.552,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1951-09-30T00:00:00,958.43,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1951-12-31T00:00:00,1009.059,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1952-03-31T00:00:00,1039.017,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1952-06-30T00:00:00,1074.374,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1952-09-30T00:00:00,1085.214,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1952-12-31T00:00:00,1103.302,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1953-03-31T00:00:00,1138.261,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1953-06-30T00:00:00,1161.607,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1953-09-30T00:00:00,1149.285,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1953-12-31T00:00:00,1146.434,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1954-03-31T00:00:00,1116.653,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1954-06-30T00:00:00,1078.86,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1954-09-30T00:00:00,1055.542,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1954-12-31T00:00:00,1049.2,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1955-03-31T00:00:00,1049.83,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1955-06-30T00:00:00,1039.546,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1955-09-30T00:00:00,1046.213,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1955-12-31T00:00:00,1025.47,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1956-03-31T00:00:00,1025.219,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
