Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Residential Property Prices,1971-03-31T00:00:00,6.45,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1971-06-30T00:00:00,8.54,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1971-09-30T00:00:00,8.02,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1971-12-31T00:00:00,9.23,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1972-03-31T00:00:00,6.65,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1972-06-30T00:00:00,6.78,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1972-09-30T00:00:00,7.73,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1972-12-31T00:00:00,7.5,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1973-03-31T00:00:00,11.91,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1973-06-30T00:00:00,11.44,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1973-09-30T00:00:00,12.07,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1973-12-31T00:00:00,12,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1974-03-31T00:00:00,9.89,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1974-06-30T00:00:00,9.4,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1974-09-30T00:00:00,9.5,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1974-12-31T00:00:00,7.89,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1975-03-31T00:00:00,8.11,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1975-06-30T00:00:00,9.07,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1975-09-30T00:00:00,8.13,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1975-12-31T00:00:00,9.47,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1976-03-31T00:00:00,3.76,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1976-06-30T00:00:00,4.12,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1976-09-30T00:00:00,4.89,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1976-12-31T00:00:00,7.26,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1977-03-31T00:00:00,14.71,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1977-06-30T00:00:00,16.43,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1977-09-30T00:00:00,17.7,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1977-12-31T00:00:00,16.31,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1978-03-31T00:00:00,16.45,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1978-06-30T00:00:00,14.94,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1978-09-30T00:00:00,15.43,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1978-12-31T00:00:00,15.49,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1979-03-31T00:00:00,15.65,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1979-06-30T00:00:00,16.81,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1979-09-30T00:00:00,16.3,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1979-12-31T00:00:00,17.1,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1980-03-31T00:00:00,14.64,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1980-06-30T00:00:00,11.06,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1980-09-30T00:00:00,10.48,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1980-12-31T00:00:00,8.78,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1981-03-31T00:00:00,8.45,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1981-06-30T00:00:00,8.51,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1981-09-30T00:00:00,6.19,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1981-12-31T00:00:00,5.35,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1982-03-31T00:00:00,3.85,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1982-06-30T00:00:00,2.81,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1982-09-30T00:00:00,1.97,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1982-12-31T00:00:00,1.41,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1983-03-31T00:00:00,2.09,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1983-06-30T00:00:00,3.24,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1983-09-30T00:00:00,4.52,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1983-12-31T00:00:00,5.16,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1984-03-31T00:00:00,5.22,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1984-06-30T00:00:00,5.25,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1984-09-30T00:00:00,5.37,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1984-12-31T00:00:00,4.65,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1985-03-31T00:00:00,4.82,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1985-06-30T00:00:00,5.14,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1985-09-30T00:00:00,5.11,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1985-12-31T00:00:00,6.51,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1986-03-31T00:00:00,7.27,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1986-06-30T00:00:00,7.51,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1986-09-30T00:00:00,8.42,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1986-12-31T00:00:00,8,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1987-03-31T00:00:00,9.4,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1987-06-30T00:00:00,9.81,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1987-09-30T00:00:00,9.69,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1987-12-31T00:00:00,10.13,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1988-03-31T00:00:00,8.3,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1988-06-30T00:00:00,8.56,Quarterly,USRPP,2023-08-28T14:19:00
United States,Residential Property Prices,1988-09-30T00:00:00,9.27,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1988-12-31T00:00:00,9.82,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1989-03-31T00:00:00,10.51,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1989-06-30T00:00:00,9.47,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1989-09-30T00:00:00,7.98,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1989-12-31T00:00:00,7.03,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1990-03-31T00:00:00,5.73,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1990-06-30T00:00:00,4.19,Quarterly,USRPP,2023-08-28T14:19:00
United States,Residential Property Prices,1990-09-30T00:00:00,2.51,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1990-12-31T00:00:00,0.35,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1991-03-31T00:00:00,-1.35,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1991-06-30T00:00:00,-0.76,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1991-09-30T00:00:00,-0.89,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1991-12-31T00:00:00,-0.67,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1992-03-31T00:00:00,0.29,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1992-06-30T00:00:00,-0.62,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1992-09-30T00:00:00,-0.46,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1992-12-31T00:00:00,0.15,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1993-03-31T00:00:00,0.19,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1993-06-30T00:00:00,0.86,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1993-09-30T00:00:00,1.74,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1993-12-31T00:00:00,2.35,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1994-03-31T00:00:00,2.34,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1994-06-30T00:00:00,2.44,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1994-09-30T00:00:00,2.23,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1994-12-31T00:00:00,1.74,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1995-03-31T00:00:00,1.81,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1995-06-30T00:00:00,1.88,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1995-09-30T00:00:00,2.31,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1995-12-31T00:00:00,2.4,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1996-03-31T00:00:00,2.93,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1996-06-30T00:00:00,2.99,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1996-09-30T00:00:00,2.64,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1996-12-31T00:00:00,2.76,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1997-03-31T00:00:00,2.72,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1997-06-30T00:00:00,3.03,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1997-09-30T00:00:00,3.73,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1997-12-31T00:00:00,4.68,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1998-03-31T00:00:00,5.9,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1998-06-30T00:00:00,6.26,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1998-09-30T00:00:00,6.83,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1998-12-31T00:00:00,7.23,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1999-03-31T00:00:00,6.74,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1999-06-30T00:00:00,7.4,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1999-09-30T00:00:00,7.59,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,1999-12-31T00:00:00,7.84,Quarterly,USRPP,2023-08-28T14:19:00
United States,Residential Property Prices,2000-03-31T00:00:00,8.83,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2000-06-30T00:00:00,9.47,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2000-09-30T00:00:00,9.71,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,2000-12-31T00:00:00,9.83,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2001-03-31T00:00:00,9.75,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2001-06-30T00:00:00,8.87,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2001-09-30T00:00:00,8.58,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,2001-12-31T00:00:00,7.91,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2002-03-31T00:00:00,7.31,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2002-06-30T00:00:00,8.2,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2002-09-30T00:00:00,8.91,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2002-12-31T00:00:00,9.32,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2003-03-31T00:00:00,9.55,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2003-06-30T00:00:00,9.07,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2003-09-30T00:00:00,9.44,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2003-12-31T00:00:00,10.8,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2004-03-31T00:00:00,12.29,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2004-06-30T00:00:00,14.32,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2004-09-30T00:00:00,14.85,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2004-12-31T00:00:00,15.38,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2005-03-31T00:00:00,16.17,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2005-06-30T00:00:00,16.11,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2005-09-30T00:00:00,16.19,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2005-12-31T00:00:00,15.04,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2006-03-31T00:00:00,12.53,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2006-06-30T00:00:00,7.51,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2006-09-30T00:00:00,3.1,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2006-12-31T00:00:00,0.32,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2007-03-31T00:00:00,-2.45,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2007-06-30T00:00:00,-4.64,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2007-09-30T00:00:00,-6.56,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2007-12-31T00:00:00,-9.52,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2008-03-31T00:00:00,-12.22,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2008-06-30T00:00:00,-13.7,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2008-09-30T00:00:00,-15.19,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2008-12-31T00:00:00,-16.92,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2009-03-31T00:00:00,-16.02,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2009-06-30T00:00:00,-11.98,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2009-09-30T00:00:00,-7.6,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2009-12-31T00:00:00,-2,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2010-03-31T00:00:00,-0.02,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2010-06-30T00:00:00,0.3,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2010-09-30T00:00:00,-2.14,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2010-12-31T00:00:00,-3.53,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2011-03-31T00:00:00,-4.32,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2011-06-30T00:00:00,-4.12,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2011-09-30T00:00:00,-1.65,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2011-12-31T00:00:00,-0.93,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2012-03-31T00:00:00,1.74,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2012-06-30T00:00:00,3.79,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2012-09-30T00:00:00,5.46,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2012-12-31T00:00:00,7.91,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2013-03-31T00:00:00,9.64,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2013-06-30T00:00:00,9.64,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2013-09-30T00:00:00,10.18,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2013-12-31T00:00:00,9.89,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2014-03-31T00:00:00,8.59,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2014-06-30T00:00:00,6.51,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2014-09-30T00:00:00,5.29,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2014-12-31T00:00:00,4.87,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2015-03-31T00:00:00,4.83,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2015-06-30T00:00:00,5.39,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2015-09-30T00:00:00,5.47,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2015-12-31T00:00:00,5.43,Quarterly,USRPP,2024-07-23T05:59:00
